Bonjour, je m'appelle Pierre et j'adore manger des pommes.	Hi, my name is Pierre and i love eating apples.
Hier soir, j'ai pris le bus 396 pour rentrer du cinéma, il faisait nuit noire.	Last night, i took the bus 396 to go home from the cinema, it was dark.
Cet artiste est mon artiste préféré, je l'ai découvert lors d'un concert à Las Vegas. Son album "Vanilla" est un chef d'oeuvre.	This artist is my favorite artist, i discovered him during a concert in Las Vegas. His album "Vanilla" is a masterpiece.
Voici mon adresse mail : jean.pierre@gmail,com ne me spamer pas s'il vous plait je déteste ça.	Here is my email address: jean.pierre@gmail.com Please don't spam me, I hate it.
La ps3 est la console la plus vendue pendant la période 2005-2013, la xbox 360 quant à elle est légèrement derrière.	The PS3 was the best-selling console during the period 2005-2013, with the Xbox 360 slightly behind.
Oula !!! où tu vas comme ça ? J'ai failli tomber.	Whoa!!! Where are you going like that ? I almost fell.
Le maitre-nageur a dit qu'il ne fallait pas courir, tu n'en fais qu'a ta tête !	The lifeguard said you shouldn't run, you only do what you want !
Ce que tu m'expliques n'a ni queue, ni tête, tu t'es clairement fait rouler dans la farine, un peu plus et tu partais les quatre fers en l'air.	What you're telling me is completely nonsensical, you've clearly been taken for a ride, any more and you'd have been on your last legs.
Bordel ! c'est quoi ça ?	What the hell is this ?
Quelle heure il est chez toi ? Pour moi il est 11h37.	What time is it where you live ? Mine is 11:37.
La réunion vient de se terminer, tu es arrivée trop tard.	The meeting just ended, you arrived too late.
J'ai des lumières RGB derrière mon clavier. Mais ce que je préfère le plus c'est mes 32Gb de ram et ma carte graphique de RTX 3070.	I have RGB lights behind my keyboard. But what I like the most is my 32GB of RAM and my RTX 3070 graphics card.
C'est l'hopital qui se fout de la charité.	It's the pot calling the kettle black !
Cette carte ne mène nulle part !! Bon, enfin, euhh... Reprenons depuis le début on va y arriver 😃 !	This map leads nowhere!! Okay, well, uh... Let's start from the beginning, we'll get there 😃!
Je me demande si ils ont pensé à prendre leur parapluie, ils ont annoncé de la pluie ce matin à la météo.	I wonder if they thought to bring their umbrella, the weather forecast said it would rain this morning.
Mon dos me fait mal, je dois prendre rdv chez mon kiné.	My back hurts, I need to make an appointment with my physiotherapist.
Super, miam ! et cette recette de gâteau on la retrouve où ??	Great, yum! And where can we find this cake recipe?
Je suis né le 29 décembre 2000.	I was born on December 29, 2000.
Nietzsche a surement raison dans sa vision du monde, mais je la trouve trop pessimiste pour l'admettre je préfère la philosophie stoïcienne.	Nietzsche is probably right in his worldview, but I find it too pessimistic to admit it. I prefer Stoic philosophy.
Pendant mon stage, j'ai pu découvrir des nouvelles approches pour aborder un problème.	During my internship, I was able to discover new approaches to tackling a problem.
Il faut vraiment que je pense à résillier mon abonnement, ça commence à chiffrer tout ça !! aie !	I really need to think about canceling my subscription, it's starting to add up !! Ouch !
Dis-moi tu en penses quoi toi de tout ça ?	Tell me, what do you think about all this ?
L'herbe est vraiment plus belle chez le voisin.	The grass is really nicer at the neighbor's.
J'adorerai partir avec mon sac et dos et faire le tour du monde.	I would love to go backpacking and travel the world.
La date butoire était le 24/07/2025, qu'avez vous fait pendant tout ce temps ?	The deadline was 07/24/2025, what did you do during all this time ?
Le chat dort sur le canapé.	The cat is sleeping on the couch.
Nous sommes allés faire les magasins aujourd'hui, il faisait chaud donc nous nous sommes arrêtés pour manger une glace.	We went shopping today, it was hot so we stopped for an ice cream.
J'ai vu 6 étoiles filantes dans le ciel cette nuit.	I saw 6 shooting stars in the sky last night.
Et soudain, il s'écria : " J'ai faim ! ".	And suddenly he cried out, "I’m hungry!".
As-tu vu le dernier film d'animation sorti au cinéma ?	Have you seen the latest animated film released in cinema?
Il a dépensé 50$ pour un sandwich.	He spent $50 on a sandwich.
Il y a - 30% de réduction sur ce t-shirt, ça vaut le coup !	There is - 30% discount on this t-shirt, it’s worth it!
Il fait 23°C aujourd'hui.	It’s 23°C today.
On se retrouve devant la gare à midi.	Meet me outside the station at noon.
Oh là là ! T'as encore tout cassé ??!	Oh there! You broke everything again??!
Avoir la tête dans les nuages.	Having your head in the clouds.
Se faire rouler dans la farine.	Be rolled in flour.
Il a jeté l'éponge.	He threw in the towel.
Chaque jour Marie va cueillir des fleurs dans son jardin.	Every day Marie goes to pick flowers in her garden.
J'ai kiffé le resto d'hier, c'était incroyable !	I loved the restaurant yesterday, it was incredible!
Il est trop relou celui-là à me donner des leçons !!	He’s too nasty to give me lessons!
Zut, j'ai encore oublié mes clés !	Damn, I forgot my keys again!
Purée, j'ai zappé que j'avais un rdv ce soir...	Damn, I forgot I had a date tonight...
Elle papillonait dans la pièce sans jamais rester en place.	She flashed in the room without ever standing still.
Après une longue journée de travail, j'aime bien lire pour me reposer.	After a long day at work, I like to read to relax.
Je prépare mes repas de la semaine en avance pour gagner du temps.	I prepare my weekly meals in advance to save time.
Mon tél est cassé...je dois en racheter un nouveau.	My phone is broken...I need to buy a new one.
Quand le chat n'est pas là, les souris dansent.	When the cat is not there, the mice dance.
Tu m'as tué avec ta blague !	You killed me with your joke!
Tu veux faire quoi ce soir ?	What do you want to do tonight?
